feature,group,v3_mean_abs_shap,v3_rank,v2_mean_abs_shap,v2_rank,rank_change,shap_diff,status
pm25_roll_min_14d,,0.0,999.0,7.903791910396165,5.0,-994.0,-7.903791910396165,DISAPPEARED
pm25_roll_min_30d,,0.0,999.0,0.760524586046413,13.0,-986.0,-0.760524586046413,DISAPPEARED
pm25_roll_min_3d,,0.0,999.0,4.868067002229764,7.0,-992.0,-4.868067002229764,DISAPPEARED
pm25_roll_min_7d,pm25_persistence,5.069552077913665,4.0,10.657201111758647,3.0,-1.0,-5.587649033844983,STABLE
pm25_roll_std_14d,,0.0,999.0,0.1624217175919809,23.0,-976.0,-0.1624217175919809,DISAPPEARED
pm25_roll_std_30d,,0.0,999.0,0.2108586150072947,19.0,-980.0,-0.2108586150072947,DISAPPEARED
pm25_roll_std_3d,,0.0,999.0,0.0398048819396838,78.0,-921.0,-0.0398048819396838,DISAPPEARED
pm25_roll_std_7d,pm25_persistence,0.15093355434797553,27.0,0.0695390685256629,47.0,20.0,0.08139448582231264,SHIFTED
pm25_roll_var_14d,,0.0,999.0,0.1687979520039495,22.0,-977.0,-0.1687979520039495,DISAPPEARED
pm25_roll_var_30d,,0.0,999.0,0.1947422386966804,20.0,-979.0,-0.1947422386966804,DISAPPEARED
pm25_roll_var_3d,,0.0,999.0,0.0788624214521101,44.0,-955.0,-0.0788624214521101,DISAPPEARED
pm25_roll_var_7d,,0.0,999.0,0.1511484154411977,25.0,-974.0,-0.1511484154411977,DISAPPEARED
rain_event_1d,external_environmental,0.004883209737252998,33.0,0.0,999.0,966.0,0.004883209737252998,NEW
rainfall_1d,external_environmental,0.014443683726149155,32.0,0.0,999.0,967.0,0.014443683726149155,NEW
rainfall_3d,external_environmental,0.23725684326734903,17.0,0.0,999.0,982.0,0.23725684326734903,NEW
temperature_c_lag_14d,,0.0,999.0,0.0360252257065397,86.0,-913.0,-0.0360252257065397,DISAPPEARED
temperature_c_lag_1d,meteorology,0.19050612086037924,24.0,0.0177899866421577,129.0,105.0,0.17271613421822155,SHIFTED
temperature_c_lag_2d,,0.0,999.0,0.0156876597533395,135.0,-864.0,-0.0156876597533395,DISAPPEARED
temperature_c_lag_3d,,0.0,999.0,0.0209582579613336,123.0,-876.0,-0.0209582579613336,DISAPPEARED
