feature_name,feature_group,dtype,missing_count,missing_rate,infinite_count,unique_count,variance,min,max,mean,median,standard_deviation,prediction_safe,source_module
pm10_roll_min_3d,other_pollutant_historical,float64,0,0.0,0,178,13190.389347,45.73,564.7,209.960986,196.03,114.84942,True,ml.src.features
pm10_roll_std_3d,other_pollutant_historical,float64,0,0.0,0,364,1526.545142,0.0,228.673566,53.228765,40.055474,39.071027,True,ml.src.features
pm10_roll_var_3d,other_pollutant_historical,float64,0,0.0,0,364,43555470.701204,0.0,52291.5996,4355.664225,1604.441033,6599.656862,True,ml.src.features
pm10_roll_mean_7d,other_pollutant_historical,float64,0,0.0,0,364,17025.497024,64.15,532.132857,261.17357,242.555714,130.481788,True,ml.src.features
pm10_roll_median_7d,other_pollutant_historical,float64,0,0.0,0,165,18046.597606,59.02,563.88,262.587055,245.93,134.337625,True,ml.src.features
pm10_roll_max_7d,other_pollutant_historical,float64,0,0.0,0,99,27756.244679,90.72,635.15,338.20474,313.09,166.602055,True,ml.src.features
pm10_roll_min_7d,other_pollutant_historical,float64,0,0.0,0,95,9645.998661,45.73,464.32,183.443507,175.38,98.214045,True,ml.src.features
pm10_roll_std_7d,other_pollutant_historical,float64,0,0.0,0,364,1151.004618,0.0,178.639119,58.345833,51.070611,33.926459,True,ml.src.features
pm10_roll_var_7d,other_pollutant_historical,float64,0,0.0,0,364,28128327.077242,0.0,31911.934862,4552.087453,2608.207295,5303.614529,True,ml.src.features
pm10_roll_mean_14d,other_pollutant_historical,float64,0,0.0,0,364,16210.543011,71.594286,490.714286,260.615521,242.183571,127.320631,True,ml.src.features
pm10_roll_median_14d,other_pollutant_historical,float64,0,0.0,0,200,16807.253105,64.61,506.405,261.961644,249.11,129.64279,True,ml.src.features
pm10_roll_max_14d,other_pollutant_historical,float64,0,0.0,0,59,29415.709874,106.07,635.15,359.074411,320.49,171.510087,True,ml.src.features
pm10_roll_min_14d,other_pollutant_historical,float64,0,0.0,0,59,7677.314623,45.73,464.32,166.561616,169.19,87.620287,True,ml.src.features
pm10_roll_std_14d,other_pollutant_historical,float64,0,0.0,0,364,1069.162888,0.0,145.361835,61.56583,53.036326,32.698056,True,ml.src.features
pm10_roll_var_14d,other_pollutant_historical,float64,0,0.0,0,364,23291393.198726,0.0,21130.063209,4856.585135,2812.851877,4826.115747,True,ml.src.features
pm10_roll_mean_30d,other_pollutant_historical,float64,0,0.0,0,364,14973.838503,82.687,477.063667,259.939885,239.003667,122.367637,True,ml.src.features
pm10_roll_median_30d,other_pollutant_historical,float64,0,0.0,0,171,15648.951088,86.515,496.025,259.470712,241.325,125.095768,True,ml.src.features
pm10_roll_max_30d,other_pollutant_historical,float64,0,0.0,0,41,29906.937701,121.0,635.15,389.388932,342.08,172.936224,True,ml.src.features
pm10_roll_min_30d,other_pollutant_historical,float64,0,0.0,0,39,6953.488517,45.73,464.32,149.691945,149.89,83.38758,True,ml.src.features
pm10_roll_std_30d,other_pollutant_historical,float64,0,0.0,0,364,1085.079163,0.0,131.488,68.035648,58.441542,32.94054,True,ml.src.features
pm10_roll_var_30d,other_pollutant_historical,float64,0,0.0,0,364,23167513.660303,0.0,17289.094198,5710.955699,3415.413858,4813.264346,True,ml.src.features
temperature_c_roll_mean_3d,meteorological,float64,0,0.0,0,291,42.248767,8.466667,35.566667,24.096941,26.2,6.499905,True,ml.src.features
temperature_c_roll_median_3d,meteorological,float64,0,0.0,0,152,42.853276,8.3,35.6,24.119589,26.4,6.546241,True,ml.src.features
temperature_c_roll_max_3d,meteorological,float64,0,0.0,0,141,42.666747,8.9,36.2,24.84,27.1,6.531979,True,ml.src.features
temperature_c_roll_min_3d,meteorological,float64,0,0.0,0,143,41.899077,8.2,34.9,23.331233,24.4,6.47295,True,ml.src.features
temperature_c_roll_std_3d,meteorological,float64,0,0.0,0,353,0.284877,0.0,3.592121,0.787986,0.680686,0.533739,True,ml.src.features
temperature_c_roll_var_3d,meteorological,float64,0,0.0,0,353,1.678646,0.0,12.903333,0.905018,0.463333,1.295626,True,ml.src.features
temperature_c_roll_mean_7d,meteorological,float64,0,0.0,0,332,41.547081,9.557143,34.614286,24.083246,25.942857,6.445703,True,ml.src.features
temperature_c_roll_median_7d,meteorological,float64,0,0.0,0,122,42.112062,9.4,34.4,24.093699,26.2,6.489381,True,ml.src.features
temperature_c_roll_max_7d,meteorological,float64,0,0.0,0,103,42.284696,11.1,36.2,25.687123,28.2,6.502668,True,ml.src.features
