feature_name,attribution_group,mean_abs_shap,mean_shap,median_abs_shap,rank
temperature_c_roll_median_14d,meteorology,0.014301689765409638,0.009909806637451698,0.007485032496973884,138
wind_speed_kmh_roll_max_14d,wind_ventilation,0.014146525547663458,-0.0016821264325591195,0.012627689294283467,139
wind_speed_kmh_roll_max_3d,wind_ventilation,0.01314154763012937,-0.004618610037765189,0.008369598045002598,140
humidity_pct_roll_min_3d,meteorology,0.011372576479946805,0.002330794712318355,0.008849708890126803,141
temperature_c_roll_min_7d,meteorology,0.010885071960190663,0.010313690257021599,0.00823383231025562,142
temperature_c_roll_median_7d,meteorology,0.01045038387551782,-0.006949450285170444,0.0037284760267798176,143
fire_hotspot_count_roll_median_7d,biomass_burning,0.010252414208792688,-0.0034002289330767477,0.005556694132682752,144
fire_hotspot_count_roll_max_30d,biomass_burning,0.009191061567643198,0.0008943341871389213,0.005413277662065261,145
festival_window,calendar_seasonal,0.0,0.0,0.0,146
is_stubble_season,biomass_burning,0.0,0.0,0.0,147
