date,scenario,ood_flag,ood_score,ood_reason
2020-11-01,biomass_low,False,1.8715387219068802,Normal feature distribution
2020-11-02,biomass_low,True,6.187212839653791,Extreme z-score (6.19) on feature 'pm25_roll_var_3d'
2020-11-03,biomass_low,False,3.6750946537726406,Normal feature distribution
2020-11-04,biomass_low,False,4.139298265680799,Normal feature distribution
2020-11-05,biomass_low,False,4.159362920207466,Normal feature distribution
2020-11-06,biomass_low,False,3.813246485401191,Normal feature distribution
2020-11-07,biomass_low,False,3.1089472321840947,Normal feature distribution
2020-11-08,biomass_low,False,3.270461873817945,Normal feature distribution
2020-11-09,biomass_low,False,3.2968979559055094,Normal feature distribution
2020-11-10,biomass_low,False,2.9540522479330327,Normal feature distribution
2020-11-11,biomass_low,False,2.2377265740643355,Normal feature distribution
2020-11-12,biomass_low,False,2.586870188946303,Normal feature distribution
2020-11-13,biomass_low,False,2.045539067821515,Normal feature distribution
2020-11-14,biomass_low,False,2.322795289843085,Normal feature distribution
2020-11-15,biomass_low,False,2.322795289843085,Normal feature distribution
2020-11-16,biomass_low,False,3.7919144217897545,Normal feature distribution
2020-11-17,biomass_low,False,3.356079425411078,Normal feature distribution
2020-11-18,biomass_low,False,2.0753232805550064,Normal feature distribution
2020-11-19,biomass_low,False,2.240867793453248,Normal feature distribution
2020-11-20,biomass_low,False,2.574061167472325,Normal feature distribution
2020-11-21,biomass_low,False,2.075898368264829,Normal feature distribution
2020-11-22,biomass_low,False,1.8963663413326872,Normal feature distribution
2020-11-23,biomass_low,False,1.8307666318785623,Normal feature distribution
2020-11-24,biomass_low,False,1.9607163397430294,Normal feature distribution
2020-11-25,biomass_low,False,2.405692531744303,Normal feature distribution
2020-11-26,biomass_low,True,4.578842750263318,Extreme z-score (4.58) on feature 'pm25_roll_var_3d'
2020-11-27,biomass_low,False,2.6706065811161115,Normal feature distribution
2020-11-28,biomass_low,False,2.684488400744603,Normal feature distribution
2020-11-29,biomass_low,False,2.5939357304111703,Normal feature distribution
2020-11-30,biomass_low,False,2.104697007302796,Normal feature distribution
2020-12-01,biomass_low,False,2.1947842559855997,Normal feature distribution
2020-12-02,biomass_low,False,2.3558839258465403,Normal feature distribution
2020-12-03,biomass_low,False,2.8678092340154215,Normal feature distribution
2020-12-04,biomass_low,False,3.638607713691062,Normal feature distribution
2020-12-05,biomass_low,False,2.970622986271155,Normal feature distribution
2020-12-06,biomass_low,False,2.0984966535387355,Normal feature distribution
2020-12-07,biomass_low,False,2.304883804815117,Normal feature distribution
2020-12-08,biomass_low,False,2.56095825385707,Normal feature distribution
2020-12-09,biomass_low,False,2.3562745709581376,Normal feature distribution
2020-12-10,biomass_low,False,2.4453112507360193,Normal feature distribution
2020-12-11,biomass_low,False,2.344205645944592,Normal feature distribution
2020-12-12,biomass_low,False,2.609422298528356,Normal feature distribution
2020-12-13,biomass_low,False,2.945173427872337,Normal feature distribution
2020-12-14,biomass_low,False,2.380920783091775,Normal feature distribution
2020-12-15,biomass_low,False,4.072384951359493,Normal feature distribution
2020-12-16,biomass_low,False,4.293847857396029,Normal feature distribution
2020-12-17,biomass_low,True,4.6142215811236555,Extreme z-score (4.61) on feature 'temperature_c_roll_var_7d'
2020-12-18,biomass_low,True,4.729123549549187,Extreme z-score (4.73) on feature 'temperature_c_roll_var_7d'
2020-12-19,biomass_low,False,4.059838704400107,Normal feature distribution
2020-12-20,biomass_low,False,4.061262595448508,Normal feature distribution
2020-12-21,biomass_low,False,3.6994667565175123,Normal feature distribution
2020-12-22,biomass_low,False,3.3679339153918333,Normal feature distribution
2020-12-23,biomass_low,False,2.940107785603314,Normal feature distribution
2020-12-24,biomass_low,False,2.4212439629189624,Normal feature distribution
2020-12-25,biomass_low,False,3.4765929625625147,Normal feature distribution
2020-12-26,biomass_low,False,3.4677617357587405,Normal feature distribution
2020-12-27,biomass_low,False,2.2220830803567235,Normal feature distribution
2020-12-28,biomass_low,False,2.159551636584034,Normal feature distribution
2020-12-29,biomass_low,False,1.9098368091367686,Normal feature distribution
2020-12-30,biomass_low,False,3.0013798198136774,Normal feature distribution
2020-12-31,biomass_low,False,2.805867151987688,Normal feature distribution
2021-01-01,biomass_low,False,2.0828362297073,Normal feature distribution
2021-01-02,biomass_low,False,2.100904163457717,Normal feature distribution
2021-01-03,biomass_low,False,2.510260771185807,Normal feature distribution
2021-01-04,biomass_low,False,4.469053518598676,Normal feature distribution
2021-01-05,biomass_low,False,3.510261492329545,Normal feature distribution
2021-01-06,biomass_low,True,4.678206206678282,Extreme z-score (4.68) on feature 'temperature_c_roll_var_7d'
2021-01-07,biomass_low,False,4.256448393163436,Normal feature distribution
2021-01-08,biomass_low,False,2.5529212933042995,Normal feature distribution
2021-01-09,biomass_low,False,2.43223561237574,Normal feature distribution
2021-01-10,biomass_low,False,2.310965581440499,Normal feature distribution
2021-01-11,biomass_low,False,2.310965581440499,Normal feature distribution
2021-01-12,biomass_low,False,2.2839452665466276,Normal feature distribution
2021-01-13,biomass_low,False,2.2024081332731065,Normal feature distribution
2021-01-14,biomass_low,False,2.0428575593814458,Normal feature distribution
